val,city_name,city_name_cdp,reporting_year_cdp,scope1_ghg_emissions_tons_co2e,year_of_emission,latitude_degrees,longitude_degrees,country,region,population_cdp,population_year_cdp
1,Abington,Abington Township,2016,193345,2010,40.1,-75.099722,USA,North America,55310,2010
2,Addis Ababa,Addis Ababa City Administration,2016,3708292,2012,9.03,38.74,Ethiopia,Africa,3384569,2008
3,Adelaide,City of Adelaide,2016,63724,2013,-34.929,138.601,Australia,Oceania,23169,2015
7,"Ajax, ON","Town of Ajax, ON",2016,6354,2008,43.858,-79.036389,Canada,North America,109600,2011
8,Albany,City of Albany,2017,663997,2010,42.653,-73.757222,USA,North America,97856,2010
9,"Alton, IL","City of Alton, IL",2016,138542,2013,38.901,-90.159722,USA,North America,26581,2015
10,Amman,Greater Amman Municipality,2016,3322603,2014,31.95,35.932778,Jordan,"North Africa, Middle East, West Asia",3604459,2015
11,Amsterdam,City of Amsterdam,2016,2161000,2016,52.367,4.9,Netherlands,Europe,822272,2015
14,"Arlington, VA","City of Arlington, VA",2016,1257464,2015,38.881,-77.1372613,USA,North America,216700,2015
16,Athens,City of Athens,2016,1260355,2014,37.984,23.727806,Greece,Europe,664046,2011
17,Atlanta,City of Atlanta,2016,3548215,2014,33.755,-84.39,USA,North America,443775,2013
18,Auckland,Auckland Council,2016,9133523,2013,-36.841,174.74,New Zealand,Oceania,1569900,2015
19,Austin,City of Austin,2016,6439000,2013,30.267,-97.733333,USA,North America,888204,2015
21,Baltimore,City of Baltimore,2017,4019044,2014,39.283,-76.616667,USA,North America,614664,2016
28,Barreiro,Barreiro,2016,203441,2014,38.667,-9.066667,Portugal,Europe,78764,2011
29,Basel,Basel-Stadt,2017,783932,2016,47.567,7.6,Switzerland,Europe,198206,2016
30,Batangas,Batangas City,2016,344419,2010,13.83,121,Philippines,Southeast Asia,332458,2015
32,Belo Horizonte,Municipality of Belo Horizonte,2016,2804787,2013,-19.917,-43.933333,Brazil,Latin America & Caribbean,2502557,2015
38,Blacksburg,Town of Blacksburg,2017,124461.79,2015,37.23,-80.417778,USA,North America,44215,2015
39,Bogor,Bogor City Government,2017,954020,2014,-6.597,106.7972,Indonesia,Southeast Asia,1047922,2015
40,Bogotá,Bogotá Distrito Capital,2016,10679585.14,2015,4.711,-74.072222,Colombia,Latin America & Caribbean,7878783,2015
43,Boston,City of Boston,2016,3603270,2014,42.358,-71.063611,USA,North America,646000,2013
44,Boulder,City of Boulder,2016,741287,2012,40.027,-105.251945,USA,North America,104810,2015
45,Bournemouth,City of Bournemouth,2016,350775,2013,50.72,-1.88,United Kingdom,Europe,191400,2015
46,Brasília,City of Brasília,2016,7739830,2012,-15.79,-47.88,Brazil,Latin America & Caribbean,1409671,2015
50,Buenos Aires,City of Buenos Aires,2016,15561157,2014,-34.603,-58.381667,Argentina,Latin America & Caribbean,3054267,2015
52,Burlington,City of Burlington,2016,368077,2010,44.476,-73.211944,USA,North America,42284,2015
53,Calgary,City of Calgary,2016,10448332,2015,51.05,-114.066667,Canada,North America,1203915,2015
54,Canberra,Canberra,2016,1757500,2015,-35.307,149.124417,Australia,Oceania,400000,2016
55,Cape Town,City of Cape Town,2016,9783734,2012,-33.925,18.423889,South Africa,Africa,3918830,2014
56,Caracas,Alcaldía Metropolitana de Caracas,2016,14364103,2015,10.481,-66.903611,Venezuela,Latin America & Caribbean,3518590,2015
58,Cascais,Cascais,2016,565382,2010,38.7,-9.416667,Portugal,Europe,208122,2014
63,Chicago,City of Chicago,2017,16951471,2015,41.837,-87.684722,USA,North America,2720546,2015
65,Cleveland,City of Cleveland,2016,7750563,2010,41.482,-81.669722,USA,North America,396815,2010
68,Columbus,City of Columbus,2016,5487400,2015,39.983,-82.983333,USA,North America,835957,2014
70,Curitiba,Municipality of Curitiba,2016,2686488,2013,-25.417,-49.25,Brazil,Latin America & Caribbean,1751907,2010
72,Dallas,City of Dallas,2016,119881,2010,32.776,-96.796667,USA,North America,1257676,2013
76,"Davis, CA","City of Davis, CA",2016,348437,2010,38.554,-121.738056,USA,North America,65600,2010
78,Denver,City of Denver,2016,4557000,2014,39.762,-104.881105,USA,North America,663862,2014
79,Detroit,City of Detroit,2016,5520240,2012,42.331,-83.045833,USA,North America,688701,2013
80,District of Columbia,District of Columbia,2016,3132786,2013,38.905,-77.016389,USA,North America,672228,2015
82,Durban,City of Durban,2016,11681810,2014,-29.883,31.05,South Africa,Africa,3555868,2015
83,Durham,City of Durham,2016,1973070,2015,35.989,-78.907222,USA,North America,250815,2015
84,Edmonton,City of Edmonton,2016,10215142,2014,53.533,-113.5,Canada,North America,878000,2014
86,"Emeryville, CA","City of Emeryville, CA",2016,127138,2014,37.831,-122.285278,USA,North America,10570,2014
87,Eugene,City of Eugene,2016,1106250,2015,44.052,-123.086667,USA,North America,151190,2013
88,Faro,Faro,2016,128,2010,37.033,-7.916667,Portugal,Europe,61214,2014
90,Flagstaff,City of Flagstaff,2016,621293.07,2014,35.199,-111.631111,USA,North America,68667,2013
91,Florianópolis,Prefeitura de Florianópolis,2016,1305206,2013,-27.572,-48.6256,Brazil,Latin America & Caribbean,550000,2010
98,Gladsaxe Kommune,Gladsaxe Kommune,2017,247599,2015,55.733,12.483333,Denmark,Europe,67347,2015
101,Greater London,Greater London Authority,2016,20620000,2013,51.507,-0.1275,United Kingdom,Europe,8600000,2015
110,"Hamilton, ON",City of Hamilton,2016,6304593,2012,43.25,-79.866667,Canada,North America,519949,2011
114,Hayward,City of Hayward,2016,861854,2015,37.669,-122.080796,USA,North America,158985,2015
119,Helsinki,City of Helsinki,2016,2096206,2014,60.171,24.9375,Finland,Europe,612664,2014
121,"Hermosa Beach, CA","City of Hermosa Beach, CA",2016,123218,2012,33.866,-118.399722,USA,North America,19750,2015
123,Hjørring,Municipality of Hjørring,2016,289000,2014,57.467,9.983333,Denmark,Europe,65308,2016
