survived,fare_class,sex,age,fare
died,first,male,39,0
died,first,male,29,0
died,first,male,38,0
died,first,male,40,0
lived,first,male,49,0
died,first,male,30,0
died,first,male,38,0
died,second,male,34,0
died,second,male,28,0
died,second,male,43,0
died,second,male,21,0
died,second,male,28,0
died,second,male,20,0
died,third,male,49,0
died,third,male,19,0
died,third,male,36,0
lived,third,male,25,0
lived,first,male,1,1
died,first,female,2,2
lived,third,male,9,3
died,third,male,20,4
died,first,male,33,5
died,third,male,61,6
died,third,male,35,6
died,third,male,31,6
died,third,male,28,6
died,third,male,43,6
died,third,male,34,6
died,third,male,18,6
died,third,male,21,6
died,third,male,19,7
died,third,female,18,7
died,third,male,23,7
lived,third,female,30,7
died,third,male,24,7
died,third,male,45,7
lived,third,male,27,7
died,third,male,19,7
lived,third,female,47,7
died,third,male,29,7
died,third,male,24,7
died,third,male,25,7
died,third,male,35,7
died,third,male,23,7
died,third,male,20,7
lived,third,male,38,7
died,third,male,38,7
died,third,male,30,7
died,third,male,25,7
died,third,male,17,7
died,third,male,51,7
died,third,male,17,7
died,third,male,22,7
died,third,male,41,7
died,third,male,35,7
lived,third,male,24,7
lived,third,female,45,7
died,third,male,21,7
died,third,male,30,7
died,third,male,20,7
died,third,male,40,7
died,third,male,34,7
died,third,male,23,7
died,third,male,31,7
died,third,male,29,7
died,third,male,26,7
lived,third,male,22,7
lived,third,female,27,7
lived,third,female,15,7
died,third,male,25,7
died,third,male,21,7
died,third,male,33,7
lived,third,male,22,7
died,third,male,46,7
died,third,male,39,7
died,third,male,27,7
died,third,male,27,7
lived,third,female,18,7
lived,third,female,13,7
lived,third,male,20,7
died,third,male,23,7
died,third,male,32,7
died,third,male,39,7
died,third,male,17,7
died,third,male,15,7
died,third,male,24,7
died,third,male,30,7
died,third,male,23,7
died,third,male,19,7
lived,third,male,25,7
lived,third,male,32,7
died,third,male,31,7
lived,third,female,17,7
died,third,male,41,7
died,third,male,29,7
died,third,male,44,7
died,third,male,44,7
died,third,male,22,7
died,third,male,32,7
died,third,male,17,7
lived,third,female,38,7
died,third,male,30,7
died,third,male,22,7
died,third,male,28,7
died,third,male,24,7
died,third,male,59,7
died,third,male,22,7
died,third,male,36,7
died,third,male,47,7
died,third,male,40,7
died,third,male,25,7
died,third,male,39,7
lived,third,female,22,7
died,third,male,21,7
died,third,male,22,7
died,third,male,28,7
died,third,male,39,7
died,third,male,21,7
died,third,male,40,7
died,third,female,19,7
died,third,male,18,7
died,third,male,36,7
died,third,male,24,7
lived,third,female,18,7
died,third,male,22,8
died,third,male,42,8
lived,third,male,24,8
died,third,female,19,8
died,third,male,18,8
died,third,male,30,8
lived,third,female,23,8
died,third,male,16,8
died,third,male,42,8
died,third,male,30,8
lived,third,male,32,8
died,third,female,30,8
died,third,female,40,8
lived,third,female,16,8
lived,third,male,25,8
died,third,male,42,8
died,third,male,25,8
lived,third,female,21,8
died,third,male,19,8
lived,third,female,36,8
lived,third,female,22,8
died,third,male,30,8
died,third,male,32,8
died,third,male,21,8
died,third,male,31,8
lived,third,female,16,8
died,third,female,17,8
lived,third,female,29,8
died,third,male,32,8
lived,third,female,33,8
died,third,male,25,8
lived,third,female,19,8
died,third,male,25,8
died,third,male,18,8
died,third,female,29,8
died,third,female,21,8
died,third,male,21,8
lived,third,female,16,8
died,third,female,37,8
died,third,male,31,8
lived,third,female,22,8
died,third,male,71,8
lived,third,male,29,8
died,third,male,32,8
died,third,female,24,8
died,third,male,65,8
died,third,male,41,8
died,third,female,32,8
died,third,male,32,8
died,third,male,42,8
died,third,male,25,8
lived,third,female,20,8
lived,third,female,26,8
died,third,female,23,8
died,third,male,23,8
lived,third,female,21,8
died,third,male,30,8
lived,third,female,41,8
lived,third,female,33,8
lived,third,male,33,8
died,third,male,32,8
died,third,male,43,8
died,third,male,40,8
died,third,female,45,8
lived,third,female,26,8
died,third,male,17,8
died,third,female,31,8
lived,third,female,21,8
lived,third,male,18,8
died,third,female,35,8
died,third,male,32,8
died,third,female,28,8
died,third,male,24,8
died,third,male,40,8
lived,third,female,24,8
died,third,male,18,8
died,third,female,24,8
lived,third,female,22,8
died,third,male,19,8
died,third,male,40,8
died,third,female,29,8
lived,third,female,37,8
lived,third,male,38,8
lived,third,male,37,8
died,third,male,27,8
died,third,male,20,8
died,third,male,25,8
died,third,male,51,8
died,third,female,38,8
died,third,male,26,8
died,third,male,24,8
died,third,male,26,8
died,third,male,21,8
died,third,male,18,8
died,third,male,16,8
died,third,male,19,8
died,third,female,28,8
lived,third,male,26,8
died,third,male,31,8
died,third,male,33,8
died,third,male,29,8
died,third,male,22,8
died,third,female,25,8
lived,third,male,21,8
lived,third,male,31,8
lived,third,female,18,8
lived,third,female,22,8
lived,third,male,32,8
died,third,male,36,8
lived,third,male,25,8
died,third,male,25,8
died,third,female,18,8
died,third,male,39,8
died,third,male,74,8
lived,third,female,38,8
lived,third,female,38,8
lived,third,male,27,8
lived,third,male,23,8
died,third,male,22,8
died,third,male,28,8
died,third,male,18,8
lived,third,male,21,8
died,third,male,22,8
lived,third,male,21,8
died,third,male,24,8
lived,third,male,25,8
died,third,male,21,8
lived,third,male,21,8
died,third,male,35,8
died,third,male,23,8
lived,third,female,22,8
died,third,male,41,8
lived,third,female,19,8
died,third,male,20,8
died,third,male,23,8
died,third,female,20,8
died,third,male,24,8
died,third,male,26,8
died,third,male,21,8
died,third,male,20,8
died,third,male,48,8
died,third,male,29,8
lived,third,male,32,8
died,third,male,27,8
died,third,male,33,8
died,third,male,18,8
lived,third,female,23,8
lived,third,female,26,8
died,third,male,21,8
died,third,female,31,8
died,third,male,28,8
died,third,male,20,8
died,third,female,14,8
died,third,male,29,8
died,third,female,27,8
died,third,female,18,8
lived,third,female,19,8
died,third,male,26,8
died,third,male,33,8
died,third,male,20,8
died,third,female,34,8
lived,third,female,39,8
lived,third,female,43,8
lived,third,female,41,8
died,third,male,26,8
lived,third,male,22,8
died,third,male,26,8
died,third,male,26,8
died,third,male,26,8
died,third,male,35,8
died,third,male,27,8
died,third,male,19,8
died,third,male,27,8
died,third,male,25,8
died,third,male,25,8
died,third,male,42,8
died,third,male,20,8
died,third,male,17,8
died,third,male,43,8
died,third,male,33,8
died,third,male,26,8
died,third,male,28,8
died,third,male,44,8
died,third,male,20,8
lived,third,male,29,8
died,third,male,23,8
died,third,male,30,8
died,third,male,38,8
died,third,male,22,8
died,third,male,19,8
died,third,male,35,8
died,third,male,33,8
died,third,male,21,8
died,third,male,24,8
died,third,male,21,8
died,third,male,28,8
died,third,male,34,8
died,third,male,22,8
died,third,male,41,8
died,third,male,27,8
died,third,male,32,8
died,third,female,28,8
died,third,male,19,8
died,third,male,24,8
died,third,male,42,8
died,third,male,30,8
died,third,male,38,8
died,third,male,26,8
died,third,male,40,8
died,third,male,39,8
died,third,male,42,8
died,third,male,19,8
died,third,male,39,8
died,third,male,36,8
died,third,male,22,8
lived,third,male,20,8
died,third,male,20,8
lived,third,female,17,8
died,third,male,37,8
died,third,male,28,8
lived,third,female,26,8
died,third,female,23,8
lived,third,female,27,8
died,third,female,27,8
died,third,female,25,8
lived,third,male,32,8
died,third,male,32,8
lived,third,male,20,8
died,third,male,29,8
died,third,female,29,8
lived,third,male,39,8
died,third,male,21,8
died,third,male,25,8
died,third,male,39,8
died,third,male,21,8
lived,third,male,31,8
lived,third,male,44,8
died,third,male,32,8
lived,third,female,15,8
died,third,male,26,8
died,third,male,35,8
lived,third,female,18,8
died,third,male,22,8
died,third,male,19,8
died,third,male,35,8
died,third,male,21,8
died,third,male,24,8
died,third,male,29,8
lived,third,male,18,8
died,third,male,43,8
died,third,male,30,8
lived,third,male,45,8
died,third,male,22,8
died,third,male,17,8
lived,third,male,19,8
lived,third,female,23,8
died,third,male,29,8
died,third,male,22,8
died,third,male,51,8
died,third,male,33,8
lived,third,female,30,8
died,third,male,44,8
died,third,male,20,8
died,third,female,44,8
died,third,female,33,8
died,third,male,56,8
died,third,male,26,8
died,third,male,17,8
died,third,male,34,8
died,third,male,40,8
died,third,male,22,8
died,third,male,33,8
died,third,male,28,8
died,third,male,19,8
died,third,male,24,8
lived,third,male,32,8
died,third,male,21,8
died,third,male,39,8
lived,third,female,44,8
died,third,male,50,8
died,third,male,16,8
died,third,male,20,8
died,third,male,25,8
died,third,male,41,8
died,third,male,43,8
died,third,male,42,8
died,third,male,44,8
died,third,male,30,8
died,third,male,17,8
died,third,male,32,8
died,third,male,21,8
lived,third,male,16,8
died,third,male,34,8
died,third,male,32,8
died,third,male,31,8
died,third,male,44,8
died,third,male,16,8
died,third,male,37,8
died,third,male,39,8
lived,third,male,42,8
died,third,female,29,8
died,third,female,31,8
died,third,male,19,8
died,third,male,18,8
died,third,male,32,8
died,third,male,42,8
died,third,male,21,8
died,third,male,43,8
lived,third,male,0,9
lived,third,female,16,9
died,third,male,33,9
died,third,female,21,9
died,third,female,30,9
died,third,male,18,9
died,third,male,38,9
died,third,male,17,9
died,third,male,17,9
died,third,male,17,9
died,third,male,42,9
died,third,female,22,9
died,third,male,26,9
lived,third,male,27,9
died,third,female,23,9
died,third,female,20,9
died,third,male,20,9
died,third,male,21,9
died,third,male,17,9
died,third,male,24,9
died,third,male,17,9
died,third,male,33,9
died,third,male,27,9
died,third,male,27,9
lived,third,female,31,9
died,third,male,18,9
died,third,male,43,9
died,third,female,24,9
lived,third,female,22,9
died,third,male,47,9
died,third,male,22,9
died,third,male,16,9
died,third,male,23,9
died,third,male,20,9
lived,third,male,14,9
died,third,male,24,9
lived,third,male,1,9
lived,third,female,18,9
died,third,male,22,9
died,third,female,40,9
died,third,male,29,9
lived,third,male,30,10
died,third,male,16,10
died,third,male,20,10
died,third,male,24,10
lived,third,male,25,10
lived,third,male,29,10
died,third,male,22,10
died,third,male,33,10
died,third,male,28,10
died,third,male,28,10
died,third,male,33,10
died,third,male,36,10
died,third,female,37,10
lived,third,female,63,10
died,second,male,62,10
died,third,female,20,10
died,third,female,21,10
died,third,female,22,10
lived,third,female,18,10
died,third,male,20,10
died,third,male,19,10
died,third,female,2,10
died,third,female,29,10
died,second,male,25,11
died,second,male,23,11
died,second,male,28,11
died,second,male,29,11
lived,second,male,24,11
lived,second,female,22,11
died,second,male,18,11
died,second,male,26,11
died,second,male,47,11
lived,second,male,62,11
died,second,male,30,11
lived,second,female,17,11
died,second,male,32,11
died,second,male,31,11
lived,second,female,34,11
died,second,male,24,11
died,second,female,57,11
lived,second,male,19,11
died,second,male,70,11
died,second,male,16,11
lived,second,female,29,11
lived,second,male,22,11
died,second,male,23,11
died,second,male,28,11
died,second,male,19,11
died,second,male,36,11
lived,second,female,50,11
died,second,male,19,11
lived,second,female,21,11
died,second,male,35,11
died,second,male,25,11
lived,second,female,50,11
lived,second,female,27,11
died,second,male,23,11
died,second,male,66,11
died,third,female,22,11
died,second,male,16,11
lived,third,male,4,11
lived,third,female,1,11
lived,third,female,27,11
lived,third,male,12,11
lived,third,female,14,11
died,second,male,18,12
died,second,male,18,12
died,second,male,21,12
died,second,male,21,12
died,second,male,21,12
died,second,male,23,12
lived,second,female,17,12
died,third,female,1,12
died,third,female,36,12
died,second,male,33,12
lived,third,female,2,12
lived,third,female,22,12
lived,second,female,34,12
died,second,male,35,12
died,second,male,57,12
died,second,male,61,12
lived,second,female,30,12
lived,third,female,30,12
lived,third,female,5,12
lived,third,male,6,12
lived,third,female,27,12
died,second,male,51,13
lived,second,female,28,13
lived,second,male,30,13
died,second,male,36,13
died,second,male,31,13
died,second,male,30,13
died,second,male,57,13
lived,second,female,36,13
lived,second,male,34,13
lived,second,female,19,13
died,second,male,23,13
died,second,male,26,13
